Column name,Type,Required,Choices / format,Notes
SubmittedAt,Date and time,Yes,ISO 8601 from the form,Set by the flow. Do not let staff edit.
Source,Choice,Yes,register | guide,Which form the record came from.
Title,Single line of text,Yes,,"Microsoft Lists always has a Title column. Map the candidate's full name here so the list is readable."
Email,Single line of text,Yes,,Indexed. Used to spot duplicates.
WhatsApp,Single line of text,Yes,+CC then number,Primary contact channel. Store with country code.
State,Choice,Yes,"Kerala | Tamil Nadu | Karnataka | Andhra Pradesh | Telangana | Maharashtra | Delhi NCR | Punjab | Gujarat | West Bengal | Rajasthan | Uttar Pradesh | Other state in India | Outside India",Country screening. Watch anything outside India.
Qualification,Choice,Yes,GNM | BSc Nursing | Post Basic BSc Nursing | MSc Nursing | Currently studying | Other,
Institution,Single line of text,No,,
YearOfQualification,Number,Yes,YYYY,No decimals. Expected year accepted for students.
HomeRegistration,Choice,Yes,Registered | Applied | Not yet | Not applicable,Indian Nursing Council / state council.
Experience,Choice,Yes,None yet | Less than 1 year | 1-2 years | 2-4 years | 5-9 years | 10+ years,
Speciality,Choice,No,"Medical-surgical | ICU / critical care | Emergency | Theatre | Paediatrics | Maternity | Oncology | Elderly and residential care | Community | Mental health | Other",Main matching field alongside Experience.
EmployerType,Choice,No,"Government hospital | Private hospital | Medical college / teaching hospital | Nursing home or residential care | Clinic or community setting | Not currently working | Still studying",
Stage,Choice,Yes,Ready now | Preparing | Just exploring | Later,Drives the nurture track.
EnglishStatus,Choice,Yes,"Not taken yet | Booked | IELTS achieved | OET achieved | Taken, did not meet the requirement",
EnglishScores,Multiple lines of text,No,Free text,Per-component scores. Never parse into a single number.
NmcProgress,Choice,Yes,Not started | Account created | CBT booked | CBT passed | Test of Competence invitation received | Other,
Timeframe,Choice,Yes,Within 6 months | 6-12 months | 1-2 years | More than 2 years | Not sure yet,
PreferredSetting,Choice,No,Hospital | Nursing or residential home | Community or specialist service | No strong preference,
PreferredLocations,Single line of text,No,Free text,Not binding. A filter hint only.
CvFile,Attachment,No,pdf / doc / docx,Attachment on the list item. Never a public URL.
ConsentRegister,Yes/No,Yes,,Must be true for a register record. False means do not contact.
ConsentUpdates,Yes/No,No,,Marketing updates only.
ConsentWording,Multiple lines of text,Yes,,"The exact consent text shown, copied at submission. Evidence, not decoration."
Status,Choice,Yes,New | Reviewing | Qualified | On hold | Introduced | Placed | Not suitable | Removed,Default New. The only column staff change daily.
QualifiedOn,Date only,No,,Set when Status becomes Qualified.
Owner,Person,No,,Who is looking after this candidate.
LastContacted,Date only,No,,Blank for 90 days on an active record is a process failure.
Notes,Multiple lines of text,No,Append-only,Dated entries. Never overwrite.
UtmSource,Single line of text,No,,From the link they arrived on.
UtmMedium,Single line of text,No,,
UtmCampaign,Single line of text,No,,
Referrer,Single line of text,No,,
RetentionReviewDate,Date only,Yes,,SubmittedAt plus the retention period. Drives the deletion view.
